"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Chy M.K.A.; Arthi P.B.; Ifty R.A.; Hamim A.M.A.I.; Iqbal J.; Franklin A.","Chy, Md. Kalim Amzad (57208406679); Arthi, Pranab Barua (60206377500); Ifty, Rashedul Arefin (58243926100); Hamim, A. M. Asik Ifthaker (59157506800); Iqbal, Jihad (60432389700); Franklin, Adam (60432313500)","57208406679; 60206377500; 58243926100; 59157506800; 60432389700; 60432313500","Fostering Critical Thinking in Intelligent Tutoring Systems Through a Supervised Multi-agent Pedagogical Framework","2026","Lecture Notes in Networks and Systems","1798 LNNS","","","667","681","0","10.1007/978-3-032-15346-3_47","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105031680761&doi=10.1007%2F978-3-032-15346-3_47&partnerID=40&md5=19af36c6761e883196c663f56f1afea3","Most classroom tutors powered by large language models default to answer-giving rather than cultivating reasoning; this research presents an alternative: a supervised, multi-agent tutoring architecture that makes students explain, justify, and revise their ideas while the system enforces milestone-aligned progress. A peer-like Socratic agent conducts grade-appropriate exchanges; a supervisory loop checks alignment with instructional goals and prevents answer leakage; an evaluation layer tracks reasoning quality; and a retrieval component offers grounded hints while strictly separating external knowledge from what the student has taught the agent. Teachers pre-upload lesson artifacts, which are ingested into an Available Knowledge Memory to gate hints, ground evaluations, and anchor milestone checks to curriculum-specific evidence. An 8-week feasibility study across grades 5–10 (10 teachers, 627 students) used a baseline and three post-assessments (scores normalized to 0–1), plus teacher diaries and focus groups. A linear mixed-effects analysis showed a significant positive effect of time (p =.03), with heterogeneous gains across classrooms. The central contribution is a multi-agent AI tutoring system to elevate students’ reasoning and thinking; its educational significance lies in making formative feedback more scalable, aligning guidance with curriculum goals, and offering a practical path to classroom-ready deployment of AI tutors. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2026.","AI in Education; Generative AI; Learning-by-Teaching (LbT); LLM; Retrieval Augmented Generation (RAG)","Computer aided instruction; Curricula; Distributed computer systems; Education computing; Information retrieval; Intelligent agents; Memory architecture; Quality control; Students; Teaching; AI in education; Critical thinking; Generative AI; Learning by teaching; Learning-by-teaching; LLM; Multi agent; Retrieval augmented generation; Teachers'; Tutoring system; Multi agent systems","Conference paper","Final","","Scopus","2-s2.0-105031680761"
"Ye L.; Li M.; Zhao D.; Sun J.; Ren X.","Ye, Likai (60149633400); Li, Mengliang (58725193600); Zhao, Dehai (56814028500); Sun, Jiamou (57205023522); Ren, Xiaoxue (57204390609)","60149633400; 58725193600; 56814028500; 57205023522; 57204390609","Bridging Solidity Evolution Gaps: An LLM-Enhanced Approach for Smart Contract Compilation Error Resolution","2025","Proceedings - 2025 IEEE International Conference on Software Maintenance and Evolution, ICSME 2025","","","","223","234","0","10.1109/ICSME64153.2025.00029","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105022440546&doi=10.1109%2FICSME64153.2025.00029&partnerID=40&md5=0ace310d43ef30fcd50362548eb6fad7","Solidity, the dominant smart contract language for Ethereum, has rapidly evolved with frequent version updates to enhance security, functionality, and developer experience. However, these continual changes introduce significant challenges, particularly in compilation errors, code migration, and maintenance. Therefore, we conduct an empirical study to investigate the challenges in the Solidity version evolution and reveal that 81.68 % of examined contracts encounter errors when compiled across different versions, with 86.92 % of compilation errors. To mitigate these challenges, we conducted a systematic evaluation of large language models (LLMs) for resolving Solidity compilation errors during version migrations. Our empirical analysis across both open-source (LLaMA3, DeepSeek) and closedsource (GPT-4o, GPT-3.5-turbo) LLMs reveals that although these models exhibit error repair capabilities, their effectiveness diminishes significantly for semantic-level issues and shows strong dependency on prompt engineering strategies. This underscores the critical need for domain-specific adaptation in developing reliable LLM-based repair systems for smart contracts. Building upon these insights, we introduce SMCFIXER, a novel framework that systematically integrates expert knowledge retrieval with LLM-based repair mechanisms for Solidity compilation error resolution. The architecture comprises three core phases: (1) context-aware code slicing that extracts relevant error information; (2) expert knowledge retrieval from official documentation; and (3) iterative patch generation for Solidity migration. Experimental validation across Solidity version migrations demonstrates our approach's statistically significant 24.24% improvement over baseline GPT-4o on real-world datasets, achieving near-perfect 96.97% accuracy.  © 2025 IEEE.","Compilation Error; Large Language Model; Smart Contract; Solidity Language Evolution","Computer architecture; Smart contract; Compilation error; Contract languages; Error codes; Expert knowledge; Knowledge retrieval; Language evolution; Language model; Large language model; Model-based OPC; Solidity language evolution; Repair; Semantics; Systematic errors","Conference paper","Final","","Scopus","2-s2.0-105022440546"
"de Cerqueira J.A.S.; Rousi R.; Xi N.; Hamari J.; Kemell K.-K.; Abrahamsson P.","de Cerqueira, José Antonio Siqueira (57211455303); Rousi, Rebekah (55785577500); Xi, Nannan (57205262108); Hamari, Juho (35361989600); Kemell, Kai-Kristian (57203633786); Abrahamsson, Pekka (7006011356)","57211455303; 55785577500; 57205262108; 35361989600; 57203633786; 7006011356","Trustworthy LLMs for Ethically Aligned AI-based Systems: A PhD Research Plan","2025","CEUR Workshop Proceedings","3921","","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218442051&partnerID=40&md5=a6f09e6c44d17097716424092197cfb9","In response to growing concerns around trustworthiness and ethical alignment in AI systems, this PhD aims to investigate how Large Language Models (LLMs) can be leveraged to support ethically aligned AI development in software engineering. Despite advancements, integrating ethical principles into AI workflows remains challenging, particularly in real-world applications that require compliance with emerging regulations, such as the EU AI Act. We will develop a Visual Studio Code (VSCode) Generative AI (GenAI) Extension powered by a multi-agent LLM system with Retrieval-Augmented Generation (RAG) capabilities. The extension will be designed to aid developers by evaluating code compliance with ethical standards, providing actionable recommendations to embed trustworthiness from early stages of development. The GenAI Extension will be evaluated through an iterative design science approach, encompassing dataset generation, ethical benchmarking, and practitioner testing. A dataset of over 2000 ethically aligned AI systems, will be created in compliance with leading regulatory frameworks, serving as a foundation for this tool's assessments. With this work, we hope to assist developers, particularly in startups and SMEs, by providing practical resources for building ethically aligned AI within limited resources. Through this approach, we aim to bridge the gap between abstract ethical principles and actionable software development practices, making ethical AI more accessible across industry contexts. © 2024 Copyright for this paper by its authors.","AI ethics; AI4SE; Large Language Models; Trustworthiness","Ethical aspects; Software design; AI ethic; AI systems; AI4SE; Ethical principles; Language model; Large language model; Real-world; Research plans; Trustworthiness; Work-flows; Regulatory compliance","Conference paper","Final","","Scopus","2-s2.0-85218442051"
"Lin L.; Jin Y.; Zhou Y.; Chen W.; Qian C.","Lin, Leilei (56525698800); Jin, Yumeng (58311982400); Zhou, Yingming (59223260600); Chen, Wenlong (56052095900); Qian, Chen (57211946905)","56525698800; 58311982400; 59223260600; 56052095900; 57211946905","MAO: A Framework for Process Model Generation With Multi-Agent Orchestration","2025","IEEE Transactions on Services Computing","18","6","","3987","4000","0","10.1109/TSC.2025.3611816","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024566969&doi=10.1109%2FTSC.2025.3611816&partnerID=40&md5=81afa5c7585d26da5d86ce3af44ad2c2","Process models are frequently used in software engineering to describe business requirements, guide software testing and control system improvement. However, traditional process modeling methods often require the participation of numerous experts, which is expensive and time-consuming. Therefore, the exploration of a more efficient and cost-effective automated modeling method has emerged as a focal point in current research. This article explores a framework for automatically generating process models with multi-agent orchestration (MAO), aiming to enhance the efficiency of process modeling and offer valuable insights for domain experts. Our framework MAO leverages large language models as the cornerstone for multi-agent, employing an innovative prompt strategy to ensure efficient collaboration among multi-agent. Specifically, 1) Generation: The first phase of MAO is to generate a slightly rough process model from the text description; 2) Refinement: The agents would continuously refine the initial process model through multiple rounds of dialogue; 3) Reviewing: Large language models are prone to hallucination phenomena among multi-turn dialogues, so the agents need to review and repair semantic hallucinations in process models; 4) Modifying: The agents utilize external tools to test whether the generated process model contains format errors, and then adjust the process model to conform to the output paradigm. The experiments demonstrate that the process models generated by our framework outperform existing methods and surpass manual modeling by 89%, 61%, 52% and 75% on four different processes, respectively. © 2008-2012 IEEE.","hallucination phenomena; large language models; multi-agent; Process modeling","Automatic test pattern generation; Cost effectiveness; Modeling languages; Process engineering; Semantics; Software agents; Software testing; Business requirement; Hallucination phenomenon; Language model; Large language model; Model generation; Multi agent; Process-models; Software control; Software testings; System improvements; Multi agent systems","Article","Final","","Scopus","2-s2.0-105024566969"
"Tao W.; Zhou Y.; Wang Y.; Zhang W.; Zhang H.; Cheng Y.","Tao, Wei (57226332317); Zhou, Yucheng (57262453900); Wang, Yanlin (57222817085); Zhang, Wenqiang (56593812000); Zhang, Hongyu (55685668500); Cheng, Yu (55421399200)","57226332317; 57262453900; 57222817085; 56593812000; 55685668500; 55421399200","MAGIS: LLM-Based Multi-Agent Framework for GitHub Issue ReSolution","2024","Advances in Neural Information Processing Systems","37","","","","","16","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000539657&partnerID=40&md5=437bf5e8789dc0ae7d9b78e489b0cb9e","In software development, resolving the emergent issues within GitHub repositories is a complex challenge that involves not only the incorporation of new code but also the maintenance of existing code. Large Language Models (LLMs) have shown promise in code generation but face difficulties in resolving Github issues, particularly at the repository level. To overcome this challenge, we empirically study the reason why LLMs fail to resolve GitHub issues and analyze the major factors. Motivated by the empirical findings, we propose a novel LLM-based Multi-Agent framework for GitHub Issue reSolution, MAGIS, consisting of four agents customized for software evolution: Manager, Repository Custodian, Developer, and Quality Assurance Engineer agents. This framework leverages the collaboration of various agents in the planning and coding process to unlock the potential of LLMs to resolve GitHub issues. In experiments, we employ the SWE-bench benchmark to compare MAGIS with popular LLMs, including GPT-3.5, GPT-4, and Claude-2. MAGIS can resolve 13.94% GitHub issues, significantly outperforming the baselines. Specifically, MAGIS achieves an eight-fold increase in resolved ratio over the direct application of GPT-4, the advanced LLM. © 2024 Neural information processing systems foundation. All rights reserved.","","Codes (symbols); Computer programming; Information systems; Information use; Intelligent agents; Multi agent systems; Optical resolving power; Software design; Codegeneration; Coding process; Empirical findings; Issue resolutions; Language model; Major factors; Model-based OPC; Multiagent framework; Planning process; Software Evolution; Quality assurance","Conference paper","Final","","Scopus","2-s2.0-105000539657"
"Ramirez-Rueda R.; Benitez-Guerrero E.; Mezura-Godoy C.; Barcenas E.","Ramirez-Rueda, Rolando (57208923504); Benitez-Guerrero, Edgard (15755550600); Mezura-Godoy, Carmen (22735015300); Barcenas, Everardo (35182396600)","57208923504; 15755550600; 22735015300; 35182396600","Transforming Software Development: A Study on the Integration of Multi-Agent Systems and Large Language Models for Automatic Code Generation","2024","Proceedings - 2024 12th International Conference in Software Engineering Research and Innovation, CONISOFT 2024","","","","11","20","1","10.1109/CONISOFT63288.2024.00013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216782621&doi=10.1109%2FCONISOFT63288.2024.00013&partnerID=40&md5=de4f739d3321eb8445eec1cee92f2cb5","This paper explores the integration of Multi-Agent Systems (MAS) and Large Language Models (LLMs) for auto-matic code generation, addressing the limitations of traditional manual coding. By conducting a comprehensive review of existing literature and analyzing a practical case study, we demonstrate how MAS and LLMs can collaboratively enhance software development processes. The research focuses on the technical and theoretical challenges of this integration, highlighting the potential for improved productivity, adaptability, and quality in code generation. The findings contribute to AI-based software engineering by revealing new research directions in collective intelligence and automated programming.  © 2024 IEEE.","Generative AI; LLM; Multi-Agent; Software Development","Automatic programming; Intelligent agents; Software quality; Automatic code generations; Case-studies; Codegeneration; Generative AI; Language model; Large language model; Manual coding; Multi agent; Multiagent systems (MASs); Software development process; Software design","Conference paper","Final","","Scopus","2-s2.0-85216782621"
"Pezzè M.; Abrahão S.; Penzenstadler B.; Poshyvanyk D.; Roychoudhury A.; Yue T.","Pezzè, Mauro (35581208100); Abrahão, Silvia (8211929700); Penzenstadler, Birgit (24765180000); Poshyvanyk, Denys (13613571900); Roychoudhury, Abhik (7005260419); Yue, Tao (25651096400)","35581208100; 8211929700; 24765180000; 13613571900; 7005260419; 25651096400","A 2030 Roadmap for Software Engineering","2025","ACM Transactions on Software Engineering and Methodology","34","5","118","","","2","10.1145/3731559","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007514314&doi=10.1145%2F3731559&partnerID=40&md5=25b36ecfaa55ae822454ddc9cd1e1136","The landscape of software engineering has dramatically changed in recent years. The impressive advances of artificial intelligence are just the latest and most disruptive innovation that has remarkably changed the software engineering research and practice. This special issue shares a roadmap to guide the software engineering community in this confused era. This roadmap is the outcome of a 2-day intensive discussion at the 2030 Software Engineering workshop. The roadmap spotlights and discusses seven main landmarks in the new software engineering landscape: artificial intelligence for software engineering, human aspects of software engineering, software security, verification and validation, sustainable software engineering, automatic programming, and quantum software engineering. This editorial summarizes the core aspects discussed in the 37 papers that comprise the seven sections of the special issue and guides the interested readers throughout the issue. This roadmap is a living body that we will refine with follow-up workshops that will update the roadmap for a series of forthcoming ACM TOSEM special issues. © 2025 Copyright held by the owner/author(s).","A roadmap for software engineering; AI and software engineering; AI for verification and validation; Automatic Programming; generative AI for software engineering; Human factor in software engineering; Large language models for software engineering; Quantum software engineering; security and software engineering; Sustainable software engineering","Application programs; Computer aided software engineering; Computer operating systems; Computer software maintenance; Computer software selection and evaluation; Engineering research; Human engineering; Industrial research; Model checking; Search engines; Software packages; Software prototyping; Software quality; Software testing; Utility programs; A roadmap for software engineering; AI and software engineering; AI for verification and validation; Generative AI for software engineering; Human factor in software engineering; Language model; Large language model for software engineering; Quantum software engineering; Roadmap; Security and software engineering; Sustainable softwares; Verification-and-validation; Software design","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105007514314"
"Wang C.; Kong L.; Tamborski M.; Albrecht S.V.","Wang, Cheng (57768092400); Kong, Lingxin (59543558600); Tamborski, Massimiliano (57767852000); Albrecht, Stefano V. (56131242200)","57768092400; 59543558600; 57767852000; 56131242200","HAD-Gen: Human-like and diverse driving behavior modeling for controllable scenario generation","2025","Accident Analysis and Prevention","223","","108270","","","1","10.1016/j.aap.2025.108270","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017955972&doi=10.1016%2Fj.aap.2025.108270&partnerID=40&md5=3c01e0345df225dab383c5a24015d953","Simulation-based testing has emerged as an essential tool for verifying and validating autonomous vehicles (AVs). However, contemporary methodologies, such as deterministic and imitation learning-based driver models, struggle to capture the variability of human-like driving behavior. Given these challenges, we propose HAD-Gen, a general framework for realistic traffic scenario generation that simulates diverse human-like driving behaviors. The framework first clusters the vehicle trajectory data into different driving styles according to safety features. It then employs maximum entropy inverse reinforcement learning on each of the clusters to learn the reward function corresponding to each driving style. Using these reward functions, the method integrates offline reinforcement learning pre-training and multi-agent reinforcement learning algorithms to obtain general and robust driving policies. Multi-perspective simulation results in highway scenarios show that our proposed scenario generation framework can generate diverse, human-like driving behaviors with strong generalization capability. The proposed framework achieved a 90.96% goal-reaching rate, an off-road rate of 2.08%, and a collision rate of 6.91% in new unseen driving scenarios, outperforming prior approaches by over 20% in goal-reaching performance. The source code is released at https://github.com/RoboSafe-Lab/HAD-Gen. © 2025","Autonomous vehicles; Driver model; Safety assessment; Scenario generation; Verification and validation","Automobile drivers; Behavioral research; Computational methods; Inverse problems; Learning algorithms; Machine learning; Maximum entropy methods; Multi agent systems; Safety engineering; Autonomous Vehicles; Driver modelling; Driving behaviors models; Driving behaviour; Driving styles; Human like; Reward function; Safety assessments; Scenarios generation; Verification-and-validation; article; autonomous vehicle; controlled study; highway; human; maximum entropy model; reinforcement learning (machine learning); reward; safety assessment; simulation; Autonomous vehicles","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105017955972"
"Vonderhaar L.; Machado D.; Ochoa O.","Vonderhaar, Lynn (59214075700); Machado, Daniel (59514711800); Ochoa, Omar (8982210700)","59214075700; 59514711800; 8982210700","Surveying the RAG Attack Surface and Defenses: Protecting Sensitive Company Data","2025","Proceedings - 2025 IEEE International Conference on Artificial Intelligence Testing, AITest 2025","","","","69","76","0","10.1109/AITest66680.2025.00015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105016242115&doi=10.1109%2FAITest66680.2025.00015&partnerID=40&md5=2c99e99d80d675e38e0b30eb40f6dbb3","As the performance of Large Language Models (LLMs) improves, they are quickly becoming a part of daily life for many people. Even industry companies are adopting them as tools to increase employee productivity. However, due to the huge computational requirements to train an LLM, companies need methods to customize their LLMs without training their own or retraining a pre-trained model. Therefore, retrieval-based methods, such as Retrieval-Augmented Generation (RAG) are becoming popular to reduce hallucinations and incorporate application-specific information into LLM generations without fine-tuning or training. However, the integration of a company's sensitive data into LLM generations using RAG changes the LLM's attack surface. Current literature lacks a complete view of the LLM's changing attack surface due to RAG. While many authors have noted specific vulnerabilities, a survey of the attack surface is not present. This work is a survey on the vulnerabilities introduced to LLMs by using RAG and how these vulnerabilities present security risks to industry companies utilizing RAG to incorporate their sensitive data into LLM generations. This work then provides a survey of the state-of-the-art defense methods against these vulnerabilities. © 2025 IEEE.","attack surface; defense methods; large language models; retrieval-augmented generation; security","Computation theory; Information systems; Personnel training; Sensitive data; Software engineering; Attack surface; Daily lives; Defense method; Employee productivity; Language model; Large language model; Model generation; Performance; Retrieval-augmented generation; Security; Network security","Conference paper","Final","","Scopus","2-s2.0-105016242115"
"Liu D.; Zhou X.; Li Y.","Liu, Deli (59531223000); Zhou, Xiaoping (55803229800); Li, Yu (58088643800)","59531223000; 55803229800; 58088643800","Enhancing Natural Language Retrieval of BIM Data through Integration of Large Language Models with Multi-Agent Systems","2025","Proceedings of the International Conference on Computer-Aided Architectural Design Research in Asia","3","","","91","100","0","10.52842/conf.caadria.2025.3.091","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023493048&doi=10.52842%2Fconf.caadria.2025.3.091&partnerID=40&md5=1260b79e823cd8e3b5af1d4c4f5c5cea","Building Information Modeling (BIM) data plays a pivotal role in modern construction projects. However, retrieving relevant information from BIM can be challenging, often requiring significant technical expertise and tool proficiency. In this paper, we propose a novel approach to address the difficulties associated with BIM data retrieval by leveraging the capabilities of LLMs and multi-agent systems. We designed a multi-agent system to facilitate efficient BIM data retrieval, integrating code generation, checking, error reflection, and execution. This multi-agent system can generate code and execute it to retrieve BIM data based on users' queries. Additionally, it can provide natural language answers to users based on the retrieved BIM data. Three distinct LLMs were selected to build the multi-agent and were compared to determine the optimal one. We also prepared documentation of the IfcOpenShell Application Programming Interface (API) to guide the code generation agent. This initiative aims to enhance the performance of the LLMs in professional tasks by ensuring clarity and precision in code generation. An evaluation method was developed to assess system performance. Lastly, a web-based IFC Model View was designed for enhanced user interaction and three-dimensional visualization of retrieved IFC models. © 2025 and published by the Association for Computer-Aided Architectural Design Research in Asia (CAADRIA), Hong Kong.","Building Information Modeling (BIM); Data retrieve; Large Language Models (LLMs); Multi-agent system; Natural Language","Application programming interfaces (API); Architectural design; Building Information Model; Codes (symbols); Computational linguistics; Computer aided design; Computer programming; Data integration; Data visualization; Information retrieval; Intelligent agents; Modeling languages; Natural language processing systems; Query processing; Search engines; Three dimensional computer graphics; User interfaces; Building information modeling; Building Information Modelling; Codegeneration; Data retrieval; Data retrieves; Language model; Large language model; Modeling data; Multiagent systems (MASs); Natural languages; Multi agent systems","Conference paper","Final","","Scopus","2-s2.0-105023493048"
